timestamps,,,,,Marker
1490137044.381,-155.006,76.215,132.856,-102.696,0
1490137044.381,-80.528,131.605,222.745,260.675,0
1490137044.396,-214.775,-27.793,90.685,-69.749,0
1490137044.396,-145.181,61.630,95.369,-227.124,0
1490137044.396,-69.641,142.253,223.328,190.400,0
1490137044.396,-186.311,39.521,164.380,95.130,0
1490137044.411,-215.886,-19.621,67.004,-276.552,0
1490137044.411,-111.462,87.327,185.737,61.405,0
1490137044.426,-131.818,70.961,204.864,216.995,0
1490137044.426,-231.288,3.818,75.348,-197.760,0
1490137044.426,-127.691,65.862,123.505,-105.196,0
1490137044.426,-100.542,134.917,218.672,250.859,0
1490137044.441,-249.352,-28.966,91.635,-85.268,0
1490137044.441,-170.839,26.757,80.823,-223.386,0
1490137044.456,-85.642,130.313,203.696,190.413,0
1490137044.456,-172.909,23.169,154.826,88.752,0
1490137044.456,-208.685,-18.699,58.251,-271.244,0
1490137044.456,-91.108,112.958,174.122,57.529,0
1490137044.471,-121.292,85.186,199.608,210.448,0
1490137044.471,-237.701,-32.322,77.145,-214.053,0
1490137044.486,-158.241,65.639,127.149,-112.117,0
1490137044.486,-106.711,123.811,208.082,247.600,0
1490137044.486,-207.897,-7.437,103.339,-79.858,0
1490137044.486,-171.042,35.810,88.731,-223.399,0
1490137044.501,-93.946,111.832,207.138,180.934,0
1490137044.501,-170.236,40.800,167.734,101.069,0
1490137044.516,-196.801,5.268,77.887,-260.247,0
1490137044.516,-94.775,119.568,184.592,63.590,0
1490137044.516,-104.618,100.031,199.778,220.495,0
1490137044.516,-203.520,-3.130,102.081,-184.525,0
1490137044.531,-97.589,83.245,155.466,-89.604,0
1490137044.531,-72.305,144.581,242.155,264.637,0
1490137044.545,-188.497,24.238,128.170,-62.761,0
1490137044.546,-159.458,64.822,118.944,-205.431,0
1490137044.546,-35.998,153.269,224.680,198.742,0
1490137044.546,-134.571,40.866,172.041,98.991,0
1490137044.561,-172.512,34.590,89.213,-249.956,0
1490137044.561,-65.579,136.538,192.784,80.754,0
1490137044.576,-98.202,101.731,209.855,220.022,0
1490137044.576,-191.935,28.343,110.516,-190.103,0
1490137044.576,-107.427,115.204,148.971,-99.371,0
1490137044.576,-75.782,130.023,234.052,257.197,0
1490137044.591,-194.725,24.315,123.535,-67.090,0
1490137044.591,-157.381,59.565,105.658,-208.268,0
1490137044.605,-74.140,130.558,221.982,190.015,0
1490137044.606,-151.511,36.952,168.726,94.992,0
1490137044.606,-184.957,29.973,83.583,-263.803,0
1490137044.606,-74.336,146.148,199.499,56.226,0
1490137044.621,-101.439,100.532,197.326,217.806,0
1490137044.621,-183.829,25.757,107.681,-189.615,0
1490137044.636,-117.654,100.620,141.469,-90.472,0
1490137044.636,-65.401,138.687,238.551,258.246,0
1490137044.636,-164.281,49.793,134.100,-66.609,0
1490137044.636,-137.389,74.834,107.842,-208.688,0
1490137044.651,-66.030,135.972,216.514,195.922,0
1490137044.651,-149.119,59.083,172.477,99.373,0
1490137044.666,-166.371,44.224,102.615,-235.789,0
1490137044.666,-77.921,118.706,196.754,60.166,0
1490137044.666,-128.353,82.093,206.371,211.289,0
1490137044.666,-214.135,16.125,100.285,-187.111,0
1490137044.681,-112.618,67.034,152.822,-93.331,0
1490137044.681,-66.469,133.872,220.583,249.541,0
1490137044.696,-197.837,11.472,115.264,-65.785,0
1490137044.696,-140.293,81.107,114.512,-205.986,0
1490137044.696,-78.669,134.141,198.116,188.770,0
1490137044.696,-159.136,37.565,161.558,89.494,0
1490137044.711,-187.777,20.556,64.485,-246.401,0
1490137044.711,-97.475,144.543,190.537,68.403,0
1490137044.726,-114.016,89.159,207.757,210.910,0
1490137044.726,-195.711,8.893,91.929,-195.715,0
1490137044.726,-117.811,100.018,140.542,-97.567,0
1490137044.726,-85.765,111.606,224.744,257.371,0
1490137044.741,-184.214,20.895,117.951,-70.634,0
1490137044.741,-141.192,61.000,104.023,-208.026,0
1490137044.755,-88.174,129.251,208.765,190.948,0
1490137044.756,-178.201,49.038,171.564,97.963,0
1490137044.756,-165.872,32.840,82.360,-253.584,0
1490137044.756,-64.093,150.121,193.242,69.414,0
1490137044.771,-113.650,95.347,203.593,210.710,0
1490137044.771,-196.051,14.909,90.524,-198.619,0
1490137044.785,-107.687,112.952,141.658,-97.830,0
1490137044.786,-111.703,114.918,216.136,251.400,0
1490137044.786,-196.442,8.536,121.248,-70.392,0
1490137044.786,-153.861,52.000,105.289,-207.086,0
1490137044.801,-92.974,114.880,221.509,193.751,0
1490137044.801,-173.449,68.240,169.341,101.570,0
1490137044.815,-171.555,29.850,83.787,-249.580,0
1490137044.816,-67.000,121.401,171.407,71.795,0
1490137044.816,-113.861,101.482,213.696,206.414,0
1490137044.816,-206.244,-11.609,92.123,-195.860,0
1490137044.831,-110.654,103.433,150.288,-89.731,0
1490137044.831,-112.977,116.969,218.823,243.881,0
1490137044.846,-191.922,19.522,120.584,-66.606,0
1490137044.846,-140.269,81.984,112.072,-205.805,0
1490137044.846,-78.547,115.914,218.373,190.727,0
1490137044.846,-150.308,28.700,174.507,103.023,0
1490137044.861,-192.266,26.277,88.456,-253.752,0
1490137044.861,-96.026,117.465,178.937,61.220,0
1490137044.876,-102.290,111.664,213.608,220.329,0
1490137044.876,-193.005,12.770,92.880,-199.389,0
1490137044.876,-92.276,113.944,145.742,-86.319,0
1490137044.876,-81.373,141.841,224.843,248.464,0
1490137044.891,-201.988,6.760,110.731,-75.303,0
1490137044.891,-150.959,37.534,97.548,-216.809,0
1490137044.906,-83.972,125.655,204.975,181.406,0
1490137044.906,-166.231,41.451,166.611,82.871,0
1490137044.913,-181.972,29.506,65.446,-249.569,0
1490137044.913,-109.039,118.603,195.447,68.698,0
1490137044.921,-135.465,78.583,203.718,208.105,0
1490137044.921,-208.808,13.823,105.284,-201.867,0
1490137044.935,-102.402,102.722,138.096,-100.457,0
1490137044.936,-64.164,120.900,227.881,251.540,0
1490137044.936,-189.417,0.438,115.389,-75.249,0
1490137044.936,-148.085,58.651,100.239,-218.446,0
1490137044.951,-89.767,125.541,214.506,197.025,0
1490137044.951,-165.403,39.134,167.069,98.954,0
1490137044.966,-179.237,22.896,87.570,-262.530,0
1490137044.966,-81.620,127.716,187.999,66.658,0
1490137044.966,-126.431,81.569,202.329,212.352,0
1490137044.966,-222.214,5.657,92.824,-198.428,0
1490137044.981,-128.752,83.935,135.760,-91.237,0
1490137044.981,-65.841,129.399,227.528,253.524,0
1490137044.995,-190.424,5.425,113.379,-69.035,0
1490137044.996,-144.837,56.458,108.644,-213.818,0
1490137044.996,-74.547,138.670,187.606,204.343,0
1490137044.996,-171.717,31.092,175.594,102.266,0
1490137045.011,-187.272,13.466,88.155,-256.178,0
1490137045.011,-91.424,135.829,177.791,68.478,0
1490137045.026,-127.316,84.727,209.189,215.727,0
1490137045.026,-201.478,-1.631,93.971,-198.228,0
1490137045.027,-126.289,93.671,143.006,-92.050,0
1490137045.027,-93.511,112.216,218.831,266.346,0
1490137045.041,-227.519,-3.785,109.906,-79.176,0
