timestamps,,,,,Marker
1490136955.599,-194.103,51.788,69.573,-236.666,0
1490136955.599,-87.891,132.108,151.722,-34.527,0
1490136955.600,-78.428,126.487,215.542,245.998,0
1490136955.600,-193.452,20.566,96.706,-123.542,0
1490136955.614,-148.769,80.821,117.199,-182.333,0
1490136955.614,-53.505,138.616,232.304,228.714,0
1490136955.629,-172.209,31.325,121.737,37.406,0
1490136955.629,-177.527,32.277,94.216,-247.667,0
1490136955.630,-74.547,128.163,197.450,110.456,0
1490136955.630,-147.621,75.374,170.575,158.213,0
1490136955.644,-248.453,-17.151,59.825,-248.988,0
1490136955.644,-150.155,72.122,142.483,-54.904,0
1490136955.659,-122.302,75.086,200.173,227.722,0
1490136955.659,-252.361,-60.684,64.107,-147.917,0
1490136955.660,-216.041,5.249,71.125,-209.786,1
1490136955.660,-135.968,91.975,192.308,203.901,0
1490136955.676,-228.553,-4.551,127.828,18.967,0
1490136955.676,-152.623,73.487,106.911,-236.091,0
1490136955.690,-5.557,208.140,239.829,149.416,0
1490136955.690,-48.746,161.193,228.758,213.404,0
1490136955.690,-124.913,83.875,122.747,-186.511,0
1490136955.691,-28.290,210.005,202.091,-2.330,0
1490136955.704,-29.289,174.786,245.139,271.047,0
1490136955.704,-168.211,33.683,123.002,-108.186,0
1490136955.719,-111.868,100.659,128.164,-169.199,0
1490136955.719,-64.642,160.156,212.464,236.953,0
1490136955.720,-190.886,19.232,129.371,22.742,0
1490136955.720,-214.900,0.989,57.924,-269.258,0
1490136955.734,-119.497,104.710,186.324,108.160,0
1490136955.734,-152.371,69.719,189.602,170.356,0
1490136955.749,-208.698,-2.008,75.927,-229.832,0
1490136955.750,-84.969,127.323,163.884,-26.877,0
1490136955.750,-71.765,145.744,234.709,264.841,0
1490136955.750,-182.238,36.954,117.126,-111.322,0
1490136955.764,-92.374,89.026,135.162,-156.575,0
1490136955.764,-34.100,173.561,230.748,243.297,0
1490136955.779,-125.451,73.526,162.469,49.241,0
1490136955.779,-153.714,66.795,88.228,-243.413,0
1490136955.780,-48.359,172.972,209.160,135.463,0
1490136955.780,-109.248,93.548,180.934,179.517,0
1490136955.794,-213.561,-8.555,65.244,-238.903,0
1490136955.794,-96.276,113.319,144.944,-38.039,0
1490136955.809,-87.717,105.843,191.294,233.862,0
1490136955.809,-210.899,-12.357,83.323,-143.322,0
1490136955.810,-149.114,61.568,117.971,-190.322,0
1490136955.810,-104.899,104.014,215.401,214.539,0
1490136955.824,-203.737,-5.408,119.694,6.231,0
1490136955.824,-206.968,7.093,82.814,-259.796,0
1490136955.839,-96.676,147.756,195.223,113.336,0
1490136955.839,-166.366,65.418,171.310,157.487,0
1490136955.840,-214.326,-17.518,66.368,-231.302,0
1490136955.840,-78.233,98.230,156.120,-34.027,0
1490136955.854,-76.013,129.229,215.871,249.754,0
1490136955.854,-201.756,-2.203,96.691,-123.488,0
1490136955.869,-152.672,94.217,116.298,-176.430,0
1490136955.869,-51.461,158.501,214.637,225.290,0
1490136955.870,-160.879,38.843,137.295,22.494,0
1490136955.870,-172.862,44.941,91.699,-246.110,0
1490136955.884,-49.855,175.420,218.427,137.337,0
1490136955.884,-104.435,102.743,182.913,183.152,0
1490136955.899,-183.642,42.324,110.845,-218.838,0
1490136955.899,-45.440,163.492,181.221,-10.419,0
1490136955.900,-49.913,162.534,229.804,256.881,0
1490136955.900,-186.602,36.380,101.933,-121.077,0
1490136955.914,-131.070,100.259,125.582,-163.069,0
1490136955.914,-48.320,151.490,233.207,245.117,0
1490136955.930,-162.499,42.162,146.957,26.460,0
1490136955.930,-155.200,46.782,88.256,-245.233,0
1490136955.930,-42.448,163.821,205.220,130.693,0
1490136955.931,-132.164,88.866,179.762,160.617,0
1490136955.944,-214.973,7.141,69.267,-230.969,0
1490136955.944,-94.053,121.715,161.068,-23.488,0
1490136955.945,-66.379,148.199,221.144,250.887,0
1490136955.959,-173.135,30.976,98.569,-130.691,0
1490136955.959,-110.078,95.869,115.643,-175.263,0
1490136955.974,-57.179,161.094,207.602,237.803,0
1490136955.974,-171.243,40.453,144.820,31.286,0
1490136955.975,-138.962,69.831,111.543,-234.550,0
1490136955.975,-39.849,159.307,203.733,136.521,0
1490136955.989,-55.358,153.353,220.800,198.568,0
1490136955.989,-90.203,137.249,132.557,-176.544,0
1490136956.004,65.753,279.434,250.601,46.951,0
1490136956.004,87.128,275.410,307.375,330.942,0
1490136956.005,-35.320,174.938,167.667,-70.215,0
1490136956.005,21.772,238.989,175.246,-117.311,0
1490136956.019,54.019,268.682,266.767,274.505,0
1490136956.019,-103.517,120.380,160.086,45.253,0
1490136956.034,-117.223,107.193,109.702,-236.126,0
1490136956.034,-29.210,190.643,210.252,125.730,0
1490136956.035,-122.622,101.364,180.542,152.386,0
1490136956.035,-208.168,4.535,54.668,-259.411,0
1490136956.049,-120.055,94.575,133.735,-54.675,0
1490136956.049,-152.958,63.672,183.261,216.196,0
1490136956.064,-269.015,-48.069,62.215,-172.226,0
1490136956.064,-199.361,16.248,59.620,-205.111,0
1490136956.065,-139.285,75.879,198.316,198.807,0
1490136956.065,-263.259,-32.354,105.966,-24.412,0
1490136956.079,-253.174,-43.394,47.052,-287.077,0
1490136956.079,-153.527,48.202,166.240,93.939,0
1490136956.094,-201.472,9.658,155.290,147.687,0
1490136956.094,-274.572,-51.519,37.435,-265.269,0
1490136956.095,-154.239,50.893,133.387,-46.562,0
1490136956.095,-151.200,69.863,192.880,223.117,0
1490136956.109,-265.092,-48.475,60.745,-165.492,0
1490136956.109,-188.085,24.220,91.067,-196.627,0
1490136956.124,-141.323,98.728,203.520,219.390,0
1490136956.124,-225.239,-26.839,114.555,9.514,0
1490136956.125,-222.619,17.809,60.068,-262.313,0
1490136956.125,-70.243,120.142,188.184,123.815,0
1490136956.139,-144.173,43.153,176.950,158.355,0
1490136956.139,-216.813,-11.162,67.075,-238.572,0
1490136956.154,-84.123,132.983,168.084,-22.292,0
1490136956.154,-68.205,157.354,228.022,261.909,0
1490136956.155,-209.045,9.355,100.798,-136.009,0
1490136956.155,-128.770,67.236,113.624,-163.957,0
1490136956.169,-38.039,176.226,231.638,239.378,0
1490136956.169,-173.075,33.006,138.287,18.125,0
1490136956.184,-181.965,32.696,75.954,-255.310,0
1490136956.184,-63.857,164.036,202.622,132.176,0
1490136956.185,-133.965,84.181,183.272,158.757,0
1490136956.185,-257.068,-34.624,56.658,-253.152,0
1490136956.199,-105.656,85.922,148.444,-27.402,0
1490136956.199,-83.873,128.821,215.360,245.597,0
1490136956.214,-238.069,-45.862,79.980,-150.062,0
1490136956.214,-164.802,43.934,92.323,-187.655,0
1490136956.215,-70.641,167.353,220.888,227.584,0
1490136956.215,-219.912,9.152,109.435,13.763,0
1490136956.229,-191.348,4.761,76.498,-253.748,0
1490136956.229,-62.043,155.967,208.294,132.383,0
1490136956.244,-117.506,92.362,181.972,158.261,0
1490136956.244,-233.536,-5.582,60.130,-253.131,0
1490136956.245,-105.551,125.115,167.643,-28.590,0
1490136956.245,-85.990,105.652,218.092,246.830,0
1490136956.259,-213.561,-20.371,93.314,-142.591,0
1490136956.259,-151.840,76.004,103.885,-178.917,0
1490136956.274,-85.616,141.765,222.311,230.574,0
1490136956.274,-202.428,14.668,120.881,3.401,0
1490136956.275,-203.078,1.470,64.562,-265.643,0
1490136956.275,-79.836,116.107,194.447,127.523,0
1490136956.289,-151.279,51.302,172.060,164.872,0
1490136956.289,-202.321,-9.067,68.928,-242.048,0
1490136956.304,-105.759,106.456,160.973,-23.838,0
1490136956.304,-101.333,114.828,214.354,235.851,0
1490136956.311,-231.605,-16.917,99.206,-143.229,0
1490136956.311,-146.613,79.162,111.266,-172.479,0
1490136956.319,-74.963,157.175,217.073,233.845,0
1490136956.319,-170.352,27.423,128.684,10.075,0
1490136956.334,-171.912,44.759,84.602,-253.715,0
1490136956.334,-74.101,136.620,202.860,127.510,0
1490136956.335,-115.789,85.911,187.706,167.155,0
1490136956.335,-198.448,27.557,81.167,-228.336,0
1490136956.349,-82.786,110.058,164.546,-16.637,0
1490136956.349,-83.325,120.277,228.489,246.029,0
1490136956.364,-195.174,39.802,100.989,-125.672,0
1490136956.364,-119.241,113.379,117.805,-150.576,0
1490136956.365,-70.239,153.480,234.518,238.368,0
